dataset,model,mode,seed,scope,axis,selected_count,axis_selected_count,axis_selected_fraction,selected_true_mean,axis_true_mean,feedback_deficit,conflict_score,conflict_rank
BEAR B70,rf_ucb,clean,4,seed,PrinterNumber=2,200,6,0.03,26.790912294800002,20.691236978333333,6.099675316466669,0.18299025949400008,6
BEAR B70,rf_ucb,clean,4,seed,DecisionPolicy=8,200,186,0.93,26.790912294800002,27.09734963790322,-0.30643734310321946,0.0,7
BEAR B70,rf_ucb,clean,4,seed,NozzleSize=0.75,200,194,0.97,26.790912294800002,26.97956204685567,-0.18864975205566736,0.0,8
BEAR B70,rf_ucb,clean,4,seed,PrinterNozzle=0,200,194,0.97,26.790912294800002,26.97956204685567,-0.18864975205566736,0.0,9
BEAR B70,rf_ucb,clean,4,seed,PrinterNumber=1,200,116,0.58,26.790912294800002,29.13666474637931,-2.3457524515793082,0.0,10
BEAR B70,rf_ucb,clean,5,seed,PrinterNumber=3,200,63,0.315,25.603532297075,22.670048744603175,2.9334835524718237,0.9240473190286245,1
BEAR B70,rf_ucb,clean,5,seed,PrinterNumber=4,200,16,0.08,25.603532297075,21.511206029375,4.092326267699999,0.32738610141599994,2
BEAR B70,rf_ucb,clean,5,seed,DecisionPolicy=7,200,15,0.075,25.603532297075,22.10657549,3.496956807074998,0.26227176053062484,3
BEAR B70,rf_ucb,clean,5,seed,NozzleSize=0.5,200,6,0.03,25.603532297075,20.691236978333333,4.912295318741666,0.14736885956225,4
BEAR B70,rf_ucb,clean,5,seed,PrinterNozzle=1,200,6,0.03,25.603532297075,20.691236978333333,4.912295318741666,0.14736885956225,5
BEAR B70,rf_ucb,clean,5,seed,PrinterNumber=2,200,6,0.03,25.603532297075,20.691236978333333,4.912295318741666,0.14736885956225,6
BEAR B70,rf_ucb,clean,5,seed,DecisionPolicy=8,200,185,0.925,25.603532297075,25.887069335486483,-0.2835370384114846,0.0,7
BEAR B70,rf_ucb,clean,5,seed,NozzleSize=0.75,200,194,0.97,25.603532297075,25.755458956417527,-0.15192665934252858,0.0,8
BEAR B70,rf_ucb,clean,5,seed,PrinterNozzle=0,200,194,0.97,25.603532297075,25.755458956417527,-0.15192665934252858,0.0,9
BEAR B70,rf_ucb,clean,5,seed,PrinterNumber=1,200,115,0.575,25.603532297075,28.03623191447826,-2.4326996174032622,0.0,10
BEAR B70,rf_ucb,clean,6,seed,PrinterNumber=3,200,76,0.38,25.46091493855,23.748299277894738,1.7126156606552634,0.6507939510490001,1
BEAR B70,rf_ucb,clean,6,seed,DecisionPolicy=7,200,16,0.08,25.46091493855,21.52434474625,3.9365701922999996,0.314925615384,2
BEAR B70,rf_ucb,clean,6,seed,PrinterNumber=4,200,18,0.09,25.46091493855,22.14454335222222,3.3163715863277794,0.2984734427695001,3
BEAR B70,rf_ucb,clean,6,seed,NozzleSize=0.5,200,7,0.035,25.46091493855,20.242117362857147,5.218797575692854,0.1826579151492499,4
