dataset,run_dir,model,detection_round,threshold,mode,seed,candidate_count,candidate_target_count,candidate_target_prevalence,cumulative_selected_count,cumulative_target_count,cumulative_target_fraction,concentration_ratio,flagged,is_target_mode
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,8,45420,211,0.004645530603258476,200,29,0.145,31.212796208530804,True,True
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,9,45420,173,0.0038088947600176132,200,67,0.335,87.95202312138728,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,0,166,35,0.21084337349397592,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,1,166,40,0.24096385542168675,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,2,166,42,0.25301204819277107,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,3,166,40,0.24096385542168675,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,4,166,44,0.26506024096385544,16,1,0.0625,0.23579545454545453,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,5,166,37,0.22289156626506024,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,6,166,39,0.23493975903614459,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,7,166,44,0.26506024096385544,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,8,166,44,0.26506024096385544,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,clean,9,166,41,0.2469879518072289,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,0,166,35,0.21084337349397592,16,0,0.0,0.0,False,False
